code,service_term,level
BD-2600.0100-150,Crop Farms/Orchards,5
BD-2600.0100-190,Dairy Farms,5
BD-2600.0100-250,Game Bird Farms,5
BD-2600.0100-265,Greenhouses/Nurseries,5
BD-2600.0100-410,Livestock Ranches,5
BD-2600.0100-620,Organic Farms,5
BD-2600.0100-670,Poultry Farms,5
BD-2600.0100-700,Ratite Farms,5
BD-2600.0100-730,Reptile Farms,5
BD-2600.0100-950,Wineries,5
BD-2600.0100-970,Worm Farms,5
BD-2600.0300,Food Production Economics,4
BD-2600.0300-030,Agricultural Financing,5
BD-2600.0300-060,Agricultural Marketing Information,5
BD-2600.0300-090,Agricultural Stabilization/Conservation,5
BD-2600.0300-110,Aquaculture/Commercial Fishing Financing,5
BD-2600.0300-115,Aquaculture/Commercial Fishing Information,5
BD-2600.0300-130,Crop Disaster Financial Aid Programs,5
BD-2600.0300-150,Crop Insurance,5
BD-2600.0300-170,Dairy Indemnity Programs,5
BD-2600.0300-200,Farmers Cooperative Purchasing/Marketing Programs,5
BD-2600.0300-400,Livestock Indemnity Programs,5
BD-2600.0500,Food Production Support Services,4
BD-2600.0500-010,Agricultural Aviation Services,5
BD-2600.0500-020,Agricultural Pest/Disease Control Assistance,5
BD-2600.0500-040,Agricultural Pollution Prevention/Mitigation Assistance,5
BD-2600.0500-052,Agricultural Soil Testing,5
BD-2600.0500-060,Agricultural Waste Management,5
BD-2600.0500-080,Agricultural Water Management,5
BD-2600.0500-100,Animal Husbandry Programs,5
BD-2600.0500-140,Aquaculture Support Services,5
BD-2600.0500-160,Beekeeping Support Services,5
BD-2600.0500-170,Commercial Fishing Support Services,5
BD-2600.0500-180,Crop Production Support,5
BD-2600.0500-250,Farm/Ranch Management Support,5
BD-2600.0500-300,Fruit and Vegetable Packing/Shipping Services,5
BD-2600.0500-630,Organic Farming Assistance,5
BD-2600.0500-650,Pollination Services,5
BD-2600.0500-700,Poultry Farming Support,5
BD-2600.0500-750,Ratite Farming Support,5
BD-2600.0500-780,Storage Facilities for Agricultural Commodities,5
BD-2600.0500-800,Sustainable Agriculture Programs,5
BD-2600.0500-900,Viticulture Support Services,5
BD-2600.0500-950,Worm Farming Support,5
BD-2600.1500,Community Gardening,4
BD-2600.3000,Home Gardening Assistance/Supplies,4
BD-2700,Food Rescue Programs,3
BD-2900,Grocery Delivery,3
BD-5000,Meals,3
BD-5000.0200,After School Meal Programs,4
BD-5000.1450,Child and Adult Care Food Programs,4
BD-5000.1470,Community Meals,4
BD-5000.1500,Congregate Meals/Nutrition Sites,4
BD-5000.3500,Home Delivered Meals,4
BD-5000.4500,Low Cost Meals,4
BD-5000.5000,Meal Vouchers,4
BD-5000.5100,Milk Programs,4
BD-5000.8000,School Breakfasts,4
BD-5000.8200,School Lunches/Snacks,4
BD-5000.8300,Soup Kitchens,4
BD-5000.8500,Summer Food Service Programs,4
BH,Housing/Shelter,2
BH-0500,At Risk/Homeless Housing Related Assistance Programs,3
BH-0500.3100,Homeless Diversion Programs,4
BH-0500.3140,Homelessness Prevention Programs,4
BH-0500.7000,Rapid Re-Housing Programs,4
BH-1800,Emergency Shelter,3
BH-1800.1500,Crisis Shelter,4
BH-1800.1500-050,Crisis Nurseries/Child Care,5
BH-1800.1500-080,Domestic Violence Motel Vouchers,5
BH-1800.1500-100,Domestic Violence Shelters,5
BH-1800.1500-140,Elder Abuse Shelters,5
BH-1800.1500-200,Family Crisis Shelters,5
BH-1800.1500-300,Hospital Safe Rooms,5
BH-1800.1500-308,Human Trafficking Shelters,5
BH-1800.1500-330,Immigrant/Refugee Shelters,5
BH-1800.1500-700,Runaway/Youth Shelters,5
BH-1800.1500-750,Safe Houses,5
BH-1800.1500-800,Sexual Assault Shelters,5
BH-1800.1500-850,Temporary Shelters for Wandering Adults,5
BH-1800.3500,Homeless Drop In Centers,4
BH-1800.8500,Homeless Shelter,4
BH-1800.8500-100,Cold Weather Shelters/Warming Centers,5
BH-1800.8500-150,Community Shelters,5
BH-1800.8500-170,Day Shelters,5
BH-1800.8500-180,Environmental Hazards Shelters,5
BH-1800.8500-300,Homeless Motel Vouchers,5
BH-1800.8500-330,Homeless Safe Parking Programs,5
BH-1800.8500-500,Missions,5
BH-1800.8500-900,Urban Campsites,5
BH-1800.8500-950,Wet Shelters,5
BH-1800.8550,Homeless Shelter Pickup Sites,4
BH-1800.9000,Medical Respite Facilities/Beds for Homeless People,4
BH-1850,Emergency Shelter Clearinghouses,3
BH-3000,Home Improvement/Accessibility,3
BH-3000.1000,Accessible Home Construction,4
BH-3000.1500,Construction/Home Improvement Cost Estimates,4
BH-3000.1800,Energy/Water Conservation Improvements,4
BH-3000.1800-685,Residential Energy/Water Conservation Systems/Devices,5
BH-3000.1800-700,Residential Energy/Water Conservation Rebates,5
BH-3000.1800-950,Weatherization Programs,5
BH-3000.3500,Home Barrier Evaluation/Removal Services,4
BH-3000.3500-100,Bathroom Modification Services,5
BH-3000.3500-300,Home Modification Consultation,5
BH-3000.3500-350,Kitchen Modification Services,5
BH-3000.3500-700,Ramp Construction Services,5
BH-3000.3500-750,Residential Lift Equipment,5
BH-3000.3500-900,Undesignated Home Barrier Removal Services,5
BH-3000.3520,Home Barrier Removal Grants,4
BH-3000.3540,Home Barrier Removal Loans,4
BH-3000.3550,Home Rehabilitation Programs,4
BH-3000.3550-350,Home Rehabilitation Grants,5
BH-3000.3550-360,Home Rehabilitation Loans,5
BH-3000.3550-370,Home Rehabilitation Resource Lists,5
BH-3000.3550-390,Home Rehabilitation Services,5
BH-3000.4500,Landscaping Services,4
BH-3000.4600,Low Cost Building Materials/Supplies,4
BH-3000.7000,Residential Sound Insulation Programs,4
BH-3300,Home Insurance,3
BH-3500,Home Purchase/Construction Financing/Refinancing,3
BH-3500.3200,Home Construction Loans,4
BH-3500.3400,Home Purchase/Mortgage Refinance Loans,4
BH-3500.3400-160,Conventional Home Loans,5
BH-3500.3400-200,FHA Loans,5
BH-3500.3400-250,First Time Buyer Home Loans,5
BH-3500.3400-300,Foreclosure Prevention Loan Modification/Refinancing Programs,5
BH-3500.3400-450,Low Income Home Loans,5
BH-3500.3400-800,Special Purpose Home Loans,5
BH-3500.3400-850,USDA Rural Home Purchase Loan Programs,5
BH-3500.3400-900,Veteran Home Loans,5
BH-3500.3500,Housing Down Payment Loans/Grants,4
BH-3600,Homeowner Associations,3
BH-3700,Housing Counseling,3
BH-3700.2800,Home Building Information,4
BH-3700.3000,Homebuyer/Home Purchase Counseling,4
BH-3700.3050,Home Seller Counseling,4
BH-3700.3200,HUD Approved Counseling Agencies,4
BH-3700.6500,Predatory Lending Awareness Programs,4
BH-3700.8500,Tenant Readiness Education Programs,4
BH-3800,Housing Expense Assistance,3
BH-3800.1500,Condominium Association Fee Payment Assistance,4
BH-3800.4900,Manufactured/Mobile Home Lot Fee Payment Assistance,4
BH-3800.5000,Mortgage Payment Assistance,4
BH-3800.5100,Motel Bill Payment Assistance,4
BH-3800.6470,Power Line Extension Payment Assistance,4
BH-3800.6500,Property Tax Payment Assistance,4
BH-3800.7000,Rent Payment Assistance,4
BH-3800.7200,Rental Application Fee Payment Assistance,4
BH-3800.7250,Rental Deposit Assistance,4
BH-3800.8000,Supportive Housing Expense Assistance,4
BH-3900,Housing Search and Information,3
BH-3900.3000,Home Purchase Listings,4
BH-3900.3050,Home Rental Listings,4
BH-3900.3050-100,Barrier Free Home Rental Listings,5
BH-3900.3050-180,Elderly/Disabled Home Rental Listings,5
BH-3900.3050-250,Government Subsidized Private Rental Housing Listings,5
BH-3900.3050-440,Low Cost Home Rental Listings,5
BH-3900.3050-500,Market Rate Rental Housing Listings,5
BH-3900.3050-750,Section 8/Rental Assistance Program Rental Listings,5
BH-3900.3100,Housing Search Assistance,4
BH-3900.4400,Listing Services for Landlords/Property Managers,4
BH-3900.4500,Lot Lists,4
BH-3900.7000,Relocation Assistance,4
BH-3900.7000-750,Relocation Information/Counseling,5
BH-3900.7000-780,Relocation Services,5
BH-3900.7500,Roommate/Housemate Matching Assistance,4
BH-5000,Moving Assistance,3
BH-5000.3000,House Moving Assistance,4
BH-5000.3100,Household Goods Storage,4
BH-5000.5000,Movers,4
BH-5000.5100,Moving Expense Assistance,4
BH-5000.6500,Pack and Store Services,4
BH-5000.8000,Senior Move Managers,4
BH-6800,Real Estate Appraisals,3
BH-6820,Real Estate Auctions,3
BH-6900,Resident Services Coordination Programs,3
BH-7000,Residential Housing Options,3
BH-7000.4600,Low Income/Subsidized Rental Housing,4
BH-7000.4600-150,Congregate Living Facilities,5
BH-7000.4600-160,Cooperative Rental Housing,5
BH-7000.4600-450,Low Income/Subsidized Private Rental Housing,5
BH-7000.4600-500,Manufactured/Mobile Home Parks,5
BH-7000.4600-600,Public Housing,5
BH-7000.4600-650,Rooming/Boarding Houses,5
BH-7000.4600-700,Section 8 Housing Choice Vouchers,5
BH-7000.4600-750,Shared Housing Facilities,5
BH-7000.4600-800,Single Room Occupancy Housing,5
BH-7000.5100,Market Rate Housing,4
BH-7000.5100-330,Independent Living Communities/Complexes,5
BH-7000.5100-450,Market Rate Rental Housing,5
BH-7000.5100-500,Market Rate Home Purchase,5
BH-7000.8100,Subsidized Home Acquisition,4
BH-7000.8100-150,Cohousing Communities,5
BH-7000.8100-280,Life Lease Housing,5
BH-7000.8100-300,Limited Equity Housing Cooperatives,5
BH-7000.8100-400,Low Cost For Sale Homes/Housing Units,5
BH-7000.8100-520,Mortgage Free Homes,5
BH-7000.8100-800,Sweat Equity Programs,5
BH-7000.8100-900,Urban Homesteading,5
BH-8300,Subsidized Housing Administrative Organizations,3
BH-8300.3000,Housing Authorities,4
BH-8300.3200,HUD Management Companies,4
BH-8400,Supportive Housing,3
BH-8400.2000,Family Permanent Supportive Housing,4
BH-8400.3000,Homeless Permanent Supportive Housing,4
BH-8400.6000,Older Adult/Disability Related Supportive Housing,4
BH-8400.6000-020,Adult Foster Homes,5
BH-8400.6000-040,Adult Residential Care Homes,5
BH-8400.6000-060,Assisted Living Facilities,5
BH-8400.6000-150,Continuing Care Retirement Communities,5
BH-8400.6000-180,ECHO Housing,5
BH-8400.6000-280,Group Residences for Adults With Disabilities,5
BH-8400.6000-350,Intermediate Care Facilities for Individuals With Developmental Disabilities,5
BH-8400.6000-450,Life Care Communities,5
BH-8400.6000-780,Secured Supportive Housing Units,5
BH-8400.6000-800,Semi-Independent Living Residences for Adults With Disabilities,5
BH-8400.6000-820,State Institutions for Individuals With Developmental Disabilities,5
BH-8400.6000-840,Supported Living Services for Adults With Disabilities,5
BH-8400.9000,Veteran Homes,4
BH-8500,Supportive Housing Placement/Referral,3
BH-8500.7000,Residential Placement Services for People With Disabilities,4
BH-8500.8000,Senior Housing Information and Referral,4
BH-8600,Transitional Housing/Shelter,3
BM,Material Goods,2
BM-0500,Automobiles,3
BM-1400,Consumer Goods Information,3
BM-1700,Discount Programs,3
BM-1700.2500,General Buying Clubs,4
BM-1700.5000,Merchandise/Services Discount Cards,4
BM-1750,Emergency Generators,3
BM-2400,Government Surplus Property Retail Stores,3
BM-3000,Household Goods,3
BM-3000.0500,Appliances,4
BM-3000.0500-030,Air Conditioners,5
BM-3000.0500-150,Clothes Dryers,5
BM-3000.0500-200,Fans,5
BM-3000.0500-220,Freezers,5
BM-3000.0500-230,Furnaces,5
BM-3000.0500-250,General Appliance Provision,5
BM-3000.0500-350,Heaters,5
BM-3000.0500-700,Refrigerators,5
BM-3000.0500-760,Small Kitchen Appliances,5
BM-3000.0500-800,Stoves,5
BM-3000.0500-900,Vacuum Cleaners,5
BM-3000.0500-950,Washing Machines,5
BM-3000.0500-965,Water Filters,5
BM-3000.0500-970,Water Heaters,5
BM-3000.1000,Bedding/Linen,4
BM-3000.1500,Cleaning Products,4
BM-3000.2000,Furniture,4
BM-3000.2000-050,Adapted Furniture,5
BM-3000.2000-100,Baby Furniture,5
BM-3000.2000-130,Beds,5
BM-3000.2000-140,Children's Furniture,5
BM-3000.2000-250,General Furniture Provision,5
BM-3000.3000,Household Goods Vouchers,4
BM-3000.4000,Kitchenware,4
BM-3000.4500,Light Bulbs,4
BM-3000.5000,Mattresses,4
BM-4500,Lost and Found,3
BM-5010,Mending/Alterations Services,3
BM-5050,Mobile Devices,3
BM-5050.1500,Cell Phones,4
BM-5050.1800,Digital Cameras,4
BM-5050.1900,E-Book Readers,4
BM-5050.3000,Handheld Game Consoles,4
BM-5050.6000,Pagers,4
BM-5050.6200,Personal Digital Assistants,4
BM-5050.6250,Personal Navigation Devices,4
BM-5050.6400,Portable Media Players,4
BM-6000,Office Equipment and Supplies,3
BM-6000.1500,Computer Distribution Programs,4
BM-6000.1500-150,Computer Distribution Programs,5
BM-6000.1500-200,Computer Labs,5
BM-6000.1550,Copy Machines,4
BM-6000.2000,Fax Machines,4
BM-6000.6000,Office Furniture,4
BM-6000.6500,Office Supplies,4
BM-6000.8000,Shredders,4
BM-6000.8500,Typewriters,4
BM-6500,Personal Goods/Services,3
BM-6500.1500,Clothing,4
BM-6500.1500-050,Adapted Clothing,5
BM-6500.1500-100,Baby Clothing,5
BM-6500.1500-120,Children's Clothing,5
BM-6500.1500-130,Clothing Vouchers,5
BM-6500.1500-140,Costumes,5
BM-6500.1500-150,Diapers,5
BM-6500.1500-210,Formal Wear,5
BM-6500.1500-250,General Clothing Provision,5
BM-6500.1500-500,Maternity Clothing,5
BM-6500.1500-600,Nursing Clothing,5
BM-6500.1500-650,Plus Size Clothing,5
BM-6500.1500-800,School Clothing,5
BM-6500.1500-830,Shoes,5
BM-6500.1500-850,Underwear/Sleepwear,5
BM-6500.1500-920,Winter Clothing,5
BM-6500.1500-950,Work Clothing,5
BM-6500.1550,Clothing Banks,4
BM-6500.6500,Personal/Grooming Needs,4
BM-6500.6500-100,Baggage Check Facilities,5
BM-6500.6500-150,Bathing Facilities,5
BM-6500.6500-170,Community Voicemail,5
BM-6500.6500-190,Cosmetics,5
BM-6500.6500-205,Dry Cleaning Establishments,5
BM-6500.6500-250,Food Preparation Facilities,5
BM-6500.6500-300,Hairdressing/Nail Care,5
BM-6500.6500-450,Laundry Facilities,5
BM-6500.6500-455,Laundry Products,5
BM-6500.6500-458,Laundry Vouchers,5
BM-6500.6500-650,Personal/Grooming Supplies,5
BM-6500.6500-670,Portable Travel/Storage Containers,5
BM-6500.6500-700,Public Restrooms,5
BM-6500.6500-800,Shaving Utensils,5
BM-6500.6500-830,Telephone Facilities,5
BM-6500.6500-850,Temporary Mailing Address,5
BM-7000,Repair Services,3
BM-7000.0350,Appliance Repair,4
BM-7000.0500,Automotive Repair,4
BM-7000.0500-050,Automotive Body Repair/Painting,5
BM-7000.0500-100,Automotive Systems Repair,5
BM-7000.0500-900,Vehicle Parts,5
BM-7000.1000,Bicycle Repair,4
BM-7000.1500,Computer Repair,4
BM-7000.2000,Furniture Repair,4
BM-7000.8000,Shoe Repair,4
BM-8500,Thrift Shops,3
BM-9500,Tools/Equipment,3
BM-9500.0300,Adapted Tools/Equipment,4
BM-9500.2000,Farm Tools/Equipment,4
BM-9500.3000,Household Tools/Equipment,4
BM-9500.4400,Left Handed Tools/Implements,4
BM-9500.9500,Work Tools/Equipment,4
BM-9600,Trading Stamp Exchanges,3
BT,Transportation,2
BT-4500,Local Transportation,3
BT-4500.4500,Local Automobile Transportation,4
BT-4500.4500-050,Automobile/Van Rentals,5
BT-4500.4500-150,Car Sharing Programs,5
BT-4500.4500-450,Limousine Services,5
BT-4500.4500-600,Park and Pool Facilities,5
BT-4500.4500-700,Ride Sharing Programs,5
BT-4500.4500-750,Shuttle Services,5
BT-4500.4500-850,Taxi Services,5
BT-4500.4500-900,Truck Rentals,5
BT-4500.4600,Local Bicycle Transportation,4
BT-4500.4700,Local Bus Services,4
BT-4500.4700-050,Airport Bus Services,5
BT-4500.4700-500,Local Bus Transit Services,5
BT-4500.4700-650,Park and Ride Facilities,5
BT-4500.4700-800,Senior Center Bus Services,5
BT-4500.4900,Local Rail Services,4
BT-4500.4950,Local Water Transportation,4
BT-4500.4950-200,Ferry Services,5
BT-4500.4950-250,Ferry Terminals,5
BT-4500.6500,Paratransit Programs,4
BT-4500.6500-120,Child Transportation Programs,5
BT-4500.6500-170,Disability Related Transportation,5
BT-4500.6500-180,Drinking/Drug Impaired Driver Transportation,5
BT-4500.6500-250,Emergency Transportation for Commuters,5
BT-4500.6500-280,General Paratransit/Community Ride Programs,5
BT-4500.6500-310,Homeless Transportation Programs,5
BT-4500.6500-350,Indigent Transportation,5
BT-4500.6500-500,Medical Appointments Transportation,5
BT-4500.6500-800,Senior Ride Programs,5
BT-4500.6500-830,Transportation for Endangered People,5
BT-4800,Long Distance Transportation,3
BT-4800.0500,Air Transportation,4
BT-4800.0500-020,Air Charter Services,5
BT-4800.0500-040,Air Freight Services,5
BT-4800.0500-060,Airlines,5
BT-4800.0500-080,Airports,5
BT-4800.0500-250,General Aviation Services,5
BT-4800.0500-300,Helicopter Transportation,5
BT-4800.4500,Long Distance Automobile Transportation,4
BT-4800.4500-850,Travelers Switchboards,5
BT-4800.4550,Long Distance Bus Services,4
BT-4800.4550-080,Bus Charter Services,5
BT-4800.4550-100,Bus Freight Services,5
BT-4800.4550-120,Bus Terminals,5
BT-4800.4550-450,Long Distance Bus Passenger Services,5
BT-4800.7000,Rail Transportation,4
BT-4800.7000-700,Rail Freight Services,5
BT-4800.7000-750,Rail Passenger Services,5
BT-4800.7000-850,Train Stations,5
BT-4800.8500,Truck Transportation,4
BT-4800.8500-850,Truck Freight Services,5
BT-4800.9500,Water Transportation,4
BT-4800.9500-650,Port Services,5
BT-4800.9500-800,Shipping Lines,5
BT-8300,Transportation Expense Assistance,3
BT-8300.0500,Air Fare,4
BT-8300.0850,Automobile Insurance Payment Assistance,4
BT-8300.0870,Automobile Loans,4
BT-8300.0870-030,Automobile Purchase Loans,5
BT-8300.0870-060,Automobile Repair Loans,5
BT-8300.0900,Automobile Payment Assistance,4
BT-8300.1000,Bus Fare,4
BT-8300.1000-400,Local Transit Fare,5
BT-8300.1000-450,Long Distance Bus Fare,5
BT-8300.2500,Gas Money,4
BT-8300.3000,Mileage Reimbursements,4
BT-8300.6600,Pothole Damage Reimbursement Programs,4
BT-8300.7000,Return to Point of Origin,4
BT-8300.8500,Taxi Fare,4
BT-8300.8600,Train Fare,4
BT-8400,Transportation Organizations,3
BT-8400.1800,Departments of Transportation/Special Districts,4
BT-8400.6300,Private Transit Companies,4
BT-8400.6400,Public Transit Authorities,4
BT-8400.8500,Transit Customer Service Centers,4
BT-8400.8550,Transportation Information Clearinghouses/511 Services,4
BT-8400.8600,Transportation Management Associations,4
BT-8500,Transportation Passes,3
BT-8500.1000,Local Transit Passes,4
BT-8500.1000-180,Discount Transit Passes,5
BT-8500.1000-200,Free Transit Passes,5
BT-8500.1000-220,Full Fare Transit Passes,5
BT-8500.6500,Paratransit Vouchers,4
BT-8500.8400,Toll Road/Bridge Passes,4
BT-8500.8500,Transportation Smart Cards,4
BT-8750,Travelers Assistance,3
BT-8750.0300,Airport Travelers Assistance Programs,4
BT-8750.1400,Consulates/Foreign Government Representatives,4
BT-8750.1500,Customs Assistance,4
BT-8750.1800,Emergency Road Service,4
BT-8750.2100,Foreign Visitor Assistance,4
BT-8750.3300,International Travel Advisories,4
BT-8750.5000,Mariner Assistance,4
BT-8750.8500,Tourist Information,4
BT-8750.8550,Transportation System Orientation Programs,4
BT-8750.8600,Travel Directions/Trip Planning,4
BV,Utilities,2
BV-8900,Utility Assistance,3
BV-8900.1500,Digital Television Converter Boxes/Coupons,4
BV-8900.1700,Discounted Utility Services,4
BV-8900.1700-150,Discounted Cable Service,5
BV-8900.1700-180,Discounted Electric Service,5
BV-8900.1700-250,Discounted Gas Service,5
BV-8900.1700-300,Discounted Heating Fuel,5
BV-8900.1700-330,Discounted Internet Service,5
BV-8900.1700-840,Discounted Sewer Service,5
BV-8900.1700-850,Discounted Telephone Service,5
BV-8900.1700-860,Discounted Trash/Recycling Service,5
BV-8900.1700-900,Discounted Water Service,5
BV-8900.4500,Large Print Utility Bills,4
BV-8900.9120,Utility Bill Payment Plan Negotiation Assistance,4
BV-8900.9120-120,Cable Bill Payment Plan Negotiation Assistance,5
BV-8900.9120-190,Electric Bill Payment Plan Negotiation Assistance,5
BV-8900.9120-250,Gas Bill Payment Plan Negotiation Assistance,5
BV-8900.9120-300,Fuel Bill Payment Plan Negotiation Assistance,5
BV-8900.9120-330,Internet Service Bill Payment Plan Negotiation Assistance,5
BV-8900.9120-850,Telephone Bill Payment Plan Negotiation Assistance,5
BV-8900.9120-860,Trash/Recycling Bill Payment Plan Negotiation Assistance,5
BV-8900.9120-900,Water Bill Payment Plan Negotiation Assistance,5
BV-8900.9125,Utility Bill Payment Plans,4
BV-8900.9125-600,Percentage of Income Utility Payment Plans,5
BV-8900.9125-900,Utility Arrearage Payment Plans,5
BV-8900.9125-920,Utility Budget Billing,5
BV-8900.9150,Utility Deposit Assistance,4
BV-8900.9200,Utility Disconnection Notification,4
BV-8900.9220,Utility Disconnection Protection,4
BV-8900.9300,Utility Service Payment Assistance,4
BV-8900.9300-150,Cable Service Payment Assistance,5
BV-8900.9300-180,Electric Service Payment Assistance,5
BV-8900.9300-250,Gas Service Payment Assistance,5
BV-8900.9300-300,Heating Fuel Payment Assistance,5
BV-8900.9300-330,Internet Service Payment Assistance,5
BV-8900.9300-800,Sewer Service Payment Assistance,5
BV-8900.9300-850,Telephone Service Payment Assistance,5
BV-8900.9300-860,Trash/Recycling Service Payment Assistance,5
BV-8900.9300-950,Water Service Payment Assistance,5
BV-8900.9400,Water Pipe Freeze Prevention Credits,4
BV-8950,Utility Service Connection/Repair,3
BV-8950.1700,Digital Television Converter Box Installation Programs,4
BV-8950.1800,Electric Service Connection/Repair,4
BV-8950.1800-170,Electric Meter Installation,5
BV-8950.1800-175,Electric Meter Maintenance,5
BV-8950.1800-180,Electric Service Billing/Collections,5
BV-8950.1800-185,Electric Service Connection,5
BV-8950.1800-190,Electric Service Maintenance/Repair,5
BV-8950.6000,Natural Gas Service Connection/Repair,4
BV-8950.6000-250,Gas Meter Installation,5
BV-8950.6000-255,Gas Meter Maintenance,5
BV-8950.6000-600,Natural Gas Service Billing/Collections,5
BV-8950.6000-605,Natural Gas Service Connection,5
BV-8950.6000-610,Natural Gas Service Maintenance/Repair,5
BV-8950.8500,Telephone Service Connection/Repair,4
BV-8950.8500-850,Telephone Service Billing/Collections,5
BV-8950.8500-855,Telephone Service Connection,5
BV-8950.8500-860,Telephone Service Repair,5
BV-8950.9500,Water Service Connection/Repair,4
BV-8950.9500-850,Temporary Water Service Turn Off/On,5
BV-8950.9500-900,Water Meter Installation,5
BV-8950.9500-905,Water Meter Maintenance,5
BV-8950.9500-915,Water Service Billing/Collection Services,5
BV-8950.9500-920,Water Service Connection,5
BV-8950.9500-930,Water Service Line Repair,5
BV-9000,Utility Service Providers,3
BV-9000.1500,Electric Service Providers,4
BV-9000.1500-050,Alternative Electric Suppliers,5
BV-9000.1500-250,Electric Generation Companies,5
BV-9000.1500-450,Local Electric Utility Companies,5
BV-9000.6000,Natural Gas Service Providers,4
BV-9000.6000-050,Alternative Natural Gas Suppliers,5
BV-9000.6000-450,Local Gas Companies,5
BV-9000.6500,Propane/Home Heating Oil Suppliers,4
BV-9000.8750,Telephone Service Providers,4
BV-9000.8750-400,Local Telephone Companies,5
BV-9000.8750-450,Long Distance Telephone Companies,5
BV-9000.9500,Water Service Providers,4
BV-9000.9500-100,Bulk Water Delivery Services,5
BV-9000.9500-110,Bulk Water Dispensing Stations,5
BV-9000.9500-500,Local Water Utilities,5
BV-9000.9500-950,Water Vending Machines,5
BV-9000.9600,Wireless Service Providers,4
D,Consumer Services,1
DD,Consumer Assistance and Protection,2
DD-1200,Consumer Action Information/Support,3
DD-1200.9000,Unsolicited Advertising Opt Out Assistance,4
DD-1200.9000-200,Do Not Call Registries,5
DD-1200.9000-350,Junk Mail/Email Opt Out Assistance,5
DD-1200.9000-800,Sexually Explicit Mail Forms,5
DD-1200.9000-900,Unsolicited Credit Offer Opt Out Assistance,5
DD-1500,Consumer Complaints,3
DD-1500.0050,Accountant Complaints,4
DD-1500.0070,Adult Day Program Complaints,4
DD-1500.0080,Adult Residential Facility Complaints,4
DD-1500.0100,Advertising Complaints,4
DD-1500.0150,Airline Complaints,4
DD-1500.0150-030,Air Passenger Complaints,5
DD-1500.0150-050,Air Safety Complaints,5
DD-1500.0200,Airport Complaints,4
DD-1500.0250,Alarm Company Complaints,4
DD-1500.0300,Alcoholic Beverages Complaints,4
DD-1500.0350,Ambulance Complaints,4
DD-1500.0370,Amusement Park/Carnival Complaints,4
DD-1500.0400,Antitrust Complaints,4
DD-1500.0450,Appliance Complaints,4
DD-1500.0450-020,Appliance Manufacturer Complaints,5
DD-1500.0450-040,Appliance Repair/Service Complaints,5
DD-1500.0450-060,Appliance Sales Complaints,5
DD-1500.0500,Architect Complaints,4
DD-1500.0530,Assistive Technology Product Complaints,4
DD-1500.0540,Athletic Trainer Complaints,4
DD-1500.0650,Automobile Complaints,4
DD-1500.0650-020,Automobile Manufacturer Complaints,5
DD-1500.0650-040,Automobile Repair/Service Complaints,5
DD-1500.0650-060,Automobile Sales Complaints,5
DD-1500.0700,Bail Bonds Complaints,4
DD-1500.0750,Bank/Savings and Loans Complaints,4
DD-1500.0800,Bar Complaints,4
DD-1500.0850,Barber Complaints,4
DD-1500.1050,Boat Complaints,4
